leaves	hot chocolate	cold	chilly	snuggie	Snuggie	wind	windy	rainy day	rain	scarf	scarves	earmuffs	pumpkin	sweater	sweater weather	Uggs	uggs	snow	snowman	snowflake	autumn	winter	gloves	storm	warm weather	sunny	warm	cozy	electric blanket	Thanksgiving	holiday	icy	blizzard	location	day	date	lat	lon	maxFreq	avgTemp
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	LA	1	11/1/13	34.5	-117.5	cold	69.87647059
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Chicago	1	11/1/13	42	-87	leaves	47.17088123
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Minneapolis	2	11/2/13	45	-92.6	icy	41.02326389
0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Seattle	2	11/2/13	48	-122	wind	51.07128028
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	New Orleans	3	11/3/13	30.5	-89.5	leaves	60.12622951
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Chicago	4	11/4/13	42	-87	rain	51.50981132
0	0	4	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	NYC	4	11/4/13	40	-74	cold	40.38574317
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	San Antonio	4	11/4/13	30	-98	leaves	64.14809689
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Atlanta	4	11/4/13	34	-84	leaves	53.5100346
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Minneapolis	5	11/5/13	45	-92.6	rain	37.57065217
0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	LA	5	11/5/13	34.5	-117.5	cold	63.19324324
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	New Orleans	6	11/6/13	30.5	-89.5	leaves	72.41758621
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Seattle	6	11/6/13	48	-122	leaves	49.91068966
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Denver	6	11/6/13	40	-104.4	cold	36.86470588
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Chicago	7	11/7/13	42	-87	cold	39.62084942
0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NYC	7	11/7/13	40	-74	rain	55.51880509
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Minneapolis	8	11/8/13	45	-92.6	rain	39.5045045
0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	LA	8	11/8/13	34.5	-117.5	rain	66.26734694
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Seattle	9	11/9/13	48	-122	leaves	47.99550173
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	San Antonio	9	11/9/13	30	-98	rain	60.99375
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Atlanta	10	11/10/13	34	-84	leaves	57.55778547
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	New Orleans	10	11/10/13	30.5	-89.5	leaves	66.92724138
0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	NYC	10	11/10/13	40	-74	uggs	49.48866279
0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LA	11	11/11/13	34.5	-117.5	cold	64.28163265
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Denver	11	11/11/13	40	-104.4	leaves	42.94416058
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Chicago	11	11/11/13	42	-87	cold	39.48307692
0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Seattle	12	11/12/13	48	-122	pumpkin	53.93793103
0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Minneapolis	12	11/12/13	45	-92.6	cozy	22.2
0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	San Antonio	12	11/12/13	30	-98	cold	55.88275862
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	New Orleans	13	11/13/13	30.5	-89.5		47.40789474
0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NYC	13	11/13/13	40	-74	cold	33.76199005
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Atlanta	13	11/13/13	34	-84		38.33854167
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Chicago	14	11/14/13	42	-87	cold	42.37170543
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Denver	14	11/14/13	40	-104.4	Thanksgiving	47.55793103
0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LA	14	11/14/13	34.5	-117.5	rain	75.01780822
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Seattle	15	11/15/13	48	-122	leaves	46.22896552
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Minneapolis	15	11/15/13	45	-92.6	rain	44.52145329
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	San Antonio	15	11/15/13	30	-98	leaves	63.15432526
0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	NYC	16	11/16/13	40	-74	cold	52.2677
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Atlanta	16	11/16/13	34	-84	leaves	55.99651568
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	New Orleans	16	11/16/13	30.5	-89.5	leaves	69.09755245
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	LA	17	11/17/13	34.5	-117.5	Thanksgiving	61.10729927
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Denver	17	11/17/13	40	-104.4	leaves	42.80486111
0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Chicago	17	11/17/13	42	-87	rain	57.49418605
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Seattle	18	11/18/13	48	-122	leaves	50.33931034
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Minneapolis	18	11/18/13	45	-92.6	Uggs	28
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	San Antonio	18	11/18/13	30	-98	leaves	69.34206897
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Atlanta	19	11/19/13	34	-84	cold	51.88006873
0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	NYC	19	11/19/13	40	-74	cold	43.32247191
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	New Orleans	19	11/19/13	30.5	-89.5		65
0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Chicago	20	11/20/13	42	-87	cold	44
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Denver	20	11/20/13	40	-104.4	leaves	50.97169811
0	0	4	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	NYC	20	11/20/13	40	-74	cold	37.65054726
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	San Antonio	21	11/21/13	30	-98	wind	73.17392638
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	New Orleans	21	11/21/13	30.5	-89.5	leaves	67
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	Seattle	21	11/21/13	48	-122	cold	38.48103448
0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	NYC	22	11/22/13	40	-74	cold	53.5146789
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Atlanta	22	11/22/13	34	-84	leaves	57.07750865
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Chicago	22	11/22/13	42	-87	wind	44
0	0	3	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	LA	23	11/23/13	34.5	-117.5	cold	57.81756757
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Denver	23	11/23/13	40	-104.4	leaves	30.48482759
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Minneapolis	23	11/23/13	45	-92.6	Thanksgiving	13
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	San Antonio	24	11/24/13	30	-98	leaves	38.1662069
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	New Orleans	24	11/24/13	30.5	-89.5	leaves	50.08194444
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Seattle	24	11/24/13	48	-122	leaves	43.19307958
0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	1	2	0	0	NYC	25	11/25/13	40	-74	snow	29.08826479
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Atlanta	25	11/25/13	34	-84	leaves	38.25793103
0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Chicago	25	11/25/13	42	-87	cold	29.08787879
0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	LA	26	11/26/13	34.5	-117.5	cold	63.86845638
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Denver	26	11/26/13	40	-104.4	leaves	35.45138889
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Minneapolis	26	11/26/13	45	-92.6	leaves	20.36678201
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Seattle	27	11/27/13	48	-122	leaves	48.69896907
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	San Antonio	27	11/27/13	30	-98	Thanksgiving	41.82689655
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	New Orleans	27	11/27/13	30.5	-89.5	leaves	44.84123711
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Atlanta	28	11/28/13	34	-84	Thanksgiving	35.53252595
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Chicago	28	11/29/13	42	-87	Thanksgiving	29.41977186
0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	1	0	0	NYC	29	11/29/13	40	-74	cold	33.00409756
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Denver	29	11/29/13	40	-104.4	holiday	41.55121107
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Minneapolis	29	11/29/13	45	-92.6	cold	24.88373702
0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	LA	30	11/30/13	34.5	-117.5	holiday	62.76141732
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	San Antonio	30	11/30/13	30	-98	leaves	58.79031142
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	New Orleans	30	11/30/13	30.5	-89.5	leaves	52.12724138
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Seattle	31	12/1/13	48	-122	snow	52
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Atlanta	31	12/1/13	34	-84	leaves	49.17681661
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Chicago	31	12/1/13	42	-87	leaves	39.33778626
